Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.010763,0.12575,0.19671,0,0,0,0.029248,3.8875E-05,-5.9801E-08,3.066E-09,1.9306E-05,7.6463E-10,1.9864E-05,0,0,0,0,0,0,package://segf_ver2/meshes/base_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://segf_ver2/meshes/base_link.STL,,suspension-1/backboard_3d_ver2-1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
sus1,0.024528,-0.0057974,-0.008,0,0,0,0.0048446,3.4495E-07,5.1061E-08,1.278E-14,2.3123E-06,2.1948E-14,2.0865E-06,0,0,0,0,0,0,package://segf_ver2/meshes/sus1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://segf_ver2/meshes/sus1.STL,,suspension-1/wheelholder_ver3_Tendon-2,Origin_sus1r,Axis8,sus1r,revolute,0.020949,-0.28148,0.067161,3.1416,-0.5236,1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,
w11,5.2221E-12,0.011,1.8397E-11,0,0,0,0.0080256,2.6304E-06,-7.5528E-16,6.5732E-16,9.6877E-07,-1.4033E-15,2.6304E-06,0,0,0,0,0,0,package://segf_ver2/meshes/w11.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://segf_ver2/meshes/w11.STL,,suspension-1/simplified-gear-2,Origin_w11r,Axis1,w11r,continuous,0,0,-0.019,1.5708,0,-1.0993,sus1,0,0,0,,,,,,,,,,,,
sus2,0.024528,-0.0057974,-0.008,0,0,0,0.0048446,3.4495E-07,5.1061E-08,1.5559E-13,2.3123E-06,4.3038E-14,2.0865E-06,0,0,0,0,0,0,package://segf_ver2/meshes/sus2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://segf_ver2/meshes/sus2.STL,,suspension-1/wheelholder_ver3_Tendon-3,Origin_sus2r,Axis9,sus2r,revolute,0.020949,-0.10396,0.081018,0,-0.5236,-1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,
w12,5.2131E-12,0.011,1.8437E-11,0,0,0,0.0080256,2.6304E-06,-7.5528E-16,6.5728E-16,9.6877E-07,-1.3997E-15,2.6304E-06,0,0,0,0,0,0,package://segf_ver2/meshes/w12.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://segf_ver2/meshes/w12.STL,,suspension-1/simplified-gear-3,Origin_w12r,Axis2,w12r,continuous,0,0,-0.019,1.5708,0,-1.0993,sus2,0,0,0,,,,,,,,,,,,
sus3,0.024528,-0.0057974,-0.008,0,0,0,0.0048446,3.4495E-07,5.1061E-08,7.8572E-14,2.3122E-06,3.487E-14,2.0865E-06,0,0,0,0,0,0,package://segf_ver2/meshes/sus3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://segf_ver2/meshes/sus3.STL,,suspension-1/wheelholder_ver3_Tendon-1,Origin_sus3r,Axis10,sus3r,revolute,0.020949,-0.20472,0.22783,1.5708,1.5708,0,base_link,0,0,0,0,0,0,0,,,,,,,,
w13,5.2176E-12,0.011,1.8417E-11,0,0,0,0.0080256,2.6304E-06,-7.5527E-16,6.573E-16,9.6877E-07,-1.4015E-15,2.6304E-06,0,0,0,0,0,0,package://segf_ver2/meshes/w13.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://segf_ver2/meshes/w13.STL,,suspension-1/simplified-gear-1,Origin_w13r,Axis7,w13r,continuous,0,0,-0.019,1.5708,0,-1.0993,sus3,0,0,0,,,,,,,,,,,,
con1,0.015,-8.3267E-17,-1.5266E-16,0,0,0,0.0023562,2.9452E-08,4.8635E-22,1.2191E-21,1.9144E-07,0,1.9144E-07,0,0,0,0,0,0,package://segf_ver2/meshes/con1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://segf_ver2/meshes/con1.STL,,backboard_3d_connect-1,Origin_con1f,Axis3,con1f,fixed,0.011619,-0.19672,0.12534,3.0572,0,0,base_link,-1,0,0,,,,,,,,,,,,
con2,5.5511E-17,0.05113,-1.6653E-16,0,0,0,0.0027934,3.4715E-07,-3.2517E-22,4.8568E-24,3.9932E-08,1.0781E-21,3.4942E-07,0,0,0,0,0,0,package://segf_ver2/meshes/con2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://segf_ver2/meshes/con2.STL,,backboard_3d_1-1-1,Origin_con2p,Axis3,con2p,prismatic,-0.003,0,0,0,-1.4864,-1.5708,con1,0,0,0,0,0,0,0,,,,,,,,
uni,-1.3878E-17,1.9284E-09,1.9284E-09,0,0,0,0.00027149,5.9356E-09,4.4722E-15,-4.4722E-15,3.2007E-09,1.0079E-21,3.2007E-09,0,0,0,0,0,0,package://segf_ver2/meshes/uni.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://segf_ver2/meshes/uni.STL,,universal_pin-1,Origin_uni1r,Axis4,uni1r,revolute,0,0.068,0,0,0,1.5708,con2,0,0,0,0,0,0,0,,,,,,,,
con3,2.7756E-17,0.05113,1.3878E-16,0,0,0,0.0027934,3.4942E-07,-3.7176E-22,2.0606E-23,3.9932E-08,-9.9706E-22,3.4715E-07,0,0,0,0,0,0,package://segf_ver2/meshes/con3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://segf_ver2/meshes/con3.STL,,backboard_3d_2-1-1,Origin_con3p,Axis5,con3p,revolute,0.068,0,0,0,0,1.5708,uni,0,0,0,0,0,0,0,,,,,,,,
